"region"	"Persons 2022 0-5 years"	"Persons 2022 6-15 years"	"Persons 2022 16-19 years"	"Persons 2022 20-24 years"	"Persons 2022 25-29 years"	"Persons 2022 30-49 years"	"Persons 2022 50-59 years"	"Persons 2022 60-66 years"	"Persons 2022 67-69 years"	"Persons 2022 70-79 years"	"Persons 2022 80 years or older"
"03011305 Gamle Aker rode 5"	128	75	28	203	498	985	154	76	15	37	15
"03011401 Ila rode 1"	60	70	28	80	197	356	97	50	15	26	16
"03011402 Ila rode 2"	60	78	22	75	160	348	81	40	19	28	21
"03011403 Ila rode 3"	69	73	29	87	243	477	131	95	41	71	56
"03011404 Ila rode 4"	45	53	19	52	204	325	68	23	5	33	15
"03011405 Ila rode 5"	91	64	25	238	512	755	111	47	22	46	26
"03011406 Ila rode 6"	64	71	25	91	276	634	127	63	24	55	13
"03011501 Lindern rode 1"	87	122	37	35	87	319	111	44	16	33	21
"03011502 Lindern rode 2"	111	116	31	49	133	410	131	102	40	115	57
"03011503 Lindern rode 3"	31	38	7	98	78	205	63	39	18	69	113
"03011504 Lindern rode 4"	82	102	33	150	223	557	125	58	11	26	7
"03011601 Sagene rode 1"	41	23	12	74	143	240	37	18	6	16	3
"03011602 Sagene rode 2"	72	168	64	45	60	252	77	33	19	37	15
"03011603 Sagene rode 3"	41	20	7	9	84	233	45	18	8	31	13
"03011604 Sagene rode 4"	67	27	7	37	137	386	74	29	13	17	7
"03011605 Sagene rode 5"	130	119	40	94	258	617	140	61	32	104	32
"03011606 Sagene rode 6"	45	31	7	53	191	364	77	32	18	26	5
"03011607 Sagene rode 7"	59	57	19	55	186	387	66	30	7	36	14
"03011701 Bjølsen rode 1"	33	25	6	50	117	226	52	23	12	14	7
"03011702 Bjølsen rode 2"	110	80	26	73	145	487	127	66	21	54	23
"03011703 Bjølsen rode 3"	40	40	16	55	113	246	46	47	14	37	9
"03011704 Bjølsen rode 4"	58	47	43	419	363	398	55	29	10	18	0
"03011705 Bjølsen rode 5"	15	8	0	35	128	252	47	22	9	31	45
"03011706 Bjølsen rode 6"	75	49	21	89	224	510	92	53	14	48	40
"03011707 Bjølsen rode 7"	35	17	14	66	130	300	77	40	18	44	43
"03011708 Bjølsen rode 8"	72	59	15	48	186	531	88	51	11	31	16
"03011709 Bjølsen rode 9"	3	18	3	3	3	17	12	3	3	3	3
"03011801 Sandaker rode 1"	194	126	49	310	429	909	240	151	77	139	26
"03011802 Sandaker rode 2"	0	0	0	0	0	0	0	0	0	0	0
"03011803 Sandaker rode 3"	168	88	33	299	380	709	122	75	33	96	37
"03011804 Sandaker rode 4"	245	105	25	166	360	883	162	102	35	102	18
"03011901 Åsen rode 1"	78	105	32	24	54	266	97	17	6	23	4
"03011902 Åsen rode 2"	156	143	35	111	393	967	222	129	60	204	80
"03011903 Åsen rode 3"	41	40	8	36	148	295	46	15	3	12	3
"03011904 Åsen rode 4"	119	105	40	118	400	796	193	96	35	71	39
"03011905 Åsen rode 5"	0	0	0	0	0	0	0	0	0	0	0
"03011906 Åsen rode 6"	62	87	18	30	71	277	65	32	5	16	3
"03011907 Åsen rode 7"	40	33	9	78	123	280	122	72	21	36	8
"03011908 Åsen rode 8"	57	103	55	42	52	256	93	33	11	30	9
"03011909 Åsen rode 9"	101	74	11	33	137	406	61	46	13	34	12
"03011910 Åsen rode 10"	250	94	27	165	511	1023	169	122	46	87	34
"03012001 Torshov rode 1"	90	64	19	142	409	800	124	51	20	46	10
"03012002 Torshov rode 2"	145	79	35	180	566	984	166	103	26	57	14
"03012003 Torshov rode 3"	33	34	6	40	164	315	39	19	15	8	6
"03012004 Torshov rode 4"	83	138	43	34	80	349	109	49	12	27	10
"03012005 Torshov rode 5"	38	78	19	69	128	293	62	15	6	22	3
"03012006 Torshov rode 6"	33	25	15	51	190	338	54	23	14	9	3
"03012007 Torshov rode 7"	59	71	33	134	269	556	128	73	25	67	19
"03012008 Torshov rode 8"	64	55	22	79	121	352	104	45	15	25	8
"03012009 Torshov rode 9"	49	27	14	75	230	459	117	61	23	58	32
"03012010 Torshov rode 10"	68	99	29	73	133	353	90	29	11	24	6
"03012011 Torshov rode 11"	0	0	0	0	0	0	0	0	0	0	0
"03012012 Torshov rode 12"	10	27	11	37	49	103	30	22	7	21	3
"03012101 Sinsen rode 1"	100	68	21	112	308	696	120	42	19	42	24
"03012102 Sinsen rode 2"	42	36	3	21	46	159	34	25	7	35	4
"03012103 Sinsen rode 3"	68	102	30	107	186	471	107	49	18	34	15
"03012104 Sinsen rode 4"	32	26	13	37	138	225	29	17	3	16	7
"03012105 Sinsen rode 5"	44	25	4	58	186	421	53	31	4	32	12
"03012106 Sinsen rode 6"	65	47	14	67	249	644	98	40	14	22	8
"03012107 Sinsen rode 7"	52	61	18	81	233	413	95	44	10	24	10
"03012108 Sinsen rode 8"	116	88	42	172	403	879	162	74	30	82	39
"03012109 Sinsen rode 9"	34	23	12	56	182	378	64	18	8	27	3
"03012201 Rodeløkka rode 1"	105	96	44	204	401	810	130	69	22	79	56
"03012202 Rodeløkka rode 2"	44	59	26	107	225	485	98	46	13	26	8
"03012203 Rodeløkka rode 3"	54	19	24	141	240	371	76	29	5	6	3
"03012204 Rodeløkka rode 4"	25	40	15	39	54	165	74	45	16	20	5
"03012205 Rodeløkka rode 5"	51	50	21	85	194	354	67	35	10	23	8
"03012206 Rodeløkka rode 6"	62	31	11	61	216	491	73	30	12	14	10
"03012207 Rodeløkka rode 7"	217	188	61	146	416	942	205	91	39	74	6
"03012208 Rodeløkka rode 8"	81	138	39	116	223	644	187	121	41	103	58
"03012209 Rodeløkka rode 9"	0	0	0	0	0	0	0	0	0	0	0
"03012301 Grünerløkka rode 1"	95	128	66	173	237	456	161	82	41	89	31
"03012302 Grünerløkka rode 2"	65	71	27	116	168	425	115	42	16	26	3
"03012303 Grünerløkka rode 3"	61	85	39	79	137	376	94	37	10	42	38
"03012304 Grünerløkka rode 4"	56	54	27	103	256	489	96	45	13	26	3
